,created_date,complaint_type,incident_zip,status
138,2019-12-11T15:03:46.000,Noise - Residential,10453,In Progress
139,2019-12-11T15:03:42.000,HEAT/HOT WATER,11207,Open
140,2019-12-11T15:03:41.000,SAFETY,11224,Open
141,2019-12-11T15:02:52.000,General Construction/Plumbing,11217,Closed
142,2019-12-11T15:02:27.000,Overgrown Tree/Branches,10308,In Progress
143,2019-12-11T15:01:46.000,HEAT/HOT WATER,11225,Open
144,2019-12-11T15:01:40.000,Noise - Vehicle,10025,In Progress
145,2019-12-11T15:01:31.000,HEAT/HOT WATER,11208,Open
146,2019-12-11T15:01:00.000,Traffic Signal Condition,11212,Open
147,2019-12-11T15:00:37.000,PAINT/PLASTER,10452,Open
148,2019-12-11T15:00:24.000,Sidewalk Condition,11356,In Progress
149,2019-12-11T15:00:07.000,Street Condition,11367,In Progress
150,2019-12-11T15:00:00.000,Traffic Signal Condition,11207,Open
151,2019-12-11T14:59:54.000,Elevator,11225,Open
152,2019-12-11T14:59:54.000,General Construction/Plumbing,10003,Open
153,2019-12-11T14:59:54.000,Boilers,10034,Open
154,2019-12-11T14:59:54.000,General Construction/Plumbing,11355,Open
155,2019-12-11T14:59:46.000,Dead/Dying Tree,10308,In Progress
156,2019-12-11T14:59:03.000,Illegal Parking,11228,In Progress
157,2019-12-11T14:58:26.000,Damaged Tree,10465,In Progress
158,2019-12-11T14:58:08.000,UNSANITARY CONDITION,10466,Open
159,2019-12-11T14:58:06.000,Illegal Parking,10305,In Progress
160,2019-12-11T14:57:47.000,Illegal Parking,11230,In Progress
161,2019-12-11T14:57:35.000,Non-Emergency Police Matter,11207,In Progress
162,2019-12-11T14:57:32.000,Noise - Residential,10457,In Progress
163,2019-12-11T14:57:17.000,FLOORING/STAIRS,10467,Open
164,2019-12-11T14:57:02.000,Damaged Tree,10308,In Progress
165,2019-12-11T14:57:02.000,Street Condition,11413,In Progress
166,2019-12-11T14:56:55.000,Blocked Driveway,11416,In Progress
167,2019-12-11T14:56:52.000,General Construction/Plumbing,11217,Open
168,2019-12-11T14:56:38.000,FLOORING/STAIRS,10034,Open
169,2019-12-11T14:56:36.000,HEAT/HOT WATER,10033,Open
170,2019-12-11T14:56:26.000,HEAT/HOT WATER,10469,Open
171,2019-12-11T14:56:23.000,PAINT/PLASTER,10456,Open
172,2019-12-11T14:56:00.000,Lead,11215,Open
173,2019-12-11T14:55:58.000,ELECTRIC,11355,Open
174,2019-12-11T14:55:57.000,WATER LEAK,11213,Open
175,2019-12-11T14:55:55.000,HEAT/HOT WATER,11225,Closed
176,2019-12-11T14:55:55.000,Illegal Parking,11229,In Progress
177,2019-12-11T14:55:54.000,HEAT/HOT WATER,11377,Open
178,2019-12-11T14:55:50.000,Illegal Parking,10453,In Progress
179,2019-12-11T14:55:49.000,HEAT/HOT WATER,11377,Open
180,2019-12-11T14:55:20.000,General Construction/Plumbing,11220,Open
181,2019-12-11T14:55:20.000,Building/Use,11234,Open
182,2019-12-11T14:55:01.000,Blocked Driveway,11203,In Progress
183,2019-12-11T14:55:01.000,Illegal Parking,10305,In Progress
184,2019-12-11T14:54:56.000,Sidewalk Condition,11219,In Progress
185,2019-12-11T14:54:40.000,Rodent,10461,In Progress
186,2019-12-11T14:54:13.000,Illegal Tree Damage,11232,In Progress
187,2019-12-11T14:54:09.000,Illegal Parking,11214,In Progress
188,2019-12-11T14:54:02.000,Mold,11203,Closed
189,2019-12-11T14:53:54.000,BEST/Site Safety,10014,Open
190,2019-12-11T14:53:53.000,Plumbing,11235,Open
191,2019-12-11T14:53:35.000,Blocked Driveway,11364,In Progress
192,2019-12-11T14:53:28.000,Illegal Parking,11230,In Progress
193,2019-12-11T14:52:02.000,Noise - Street/Sidewalk,10007,In Progress
194,2019-12-11T14:51:53.000,Illegal Parking,10017,In Progress
195,2019-12-11T14:51:46.000,Illegal Parking,11230,In Progress
196,2019-12-11T14:51:22.000,Sidewalk Condition,10303,In Progress
197,2019-12-11T14:50:59.000,Vending,10009,In Progress
198,2019-12-11T14:50:54.000,PLUMBING,11216,Open
199,2019-12-11T14:50:51.000,Plumbing,10466,Assigned
200,2019-12-11T14:50:45.000,FLOORING/STAIRS,10457,Open
201,2019-12-11T14:50:34.000,Homeless Encampment,10017,In Progress
202,2019-12-11T14:50:10.000,Lost Property,10282,Closed
203,2019-12-11T14:50:04.000,Sidewalk Condition,10469,In Progress
204,2019-12-11T14:50:00.000,Sewer,10025,Open
205,2019-12-11T14:50:00.000,Sewer,10306,Open
206,2019-12-11T14:50:00.000,Blocked Driveway,10009,In Progress
207,2019-12-11T14:49:44.000,HEAT/HOT WATER,11377,Open
208,2019-12-11T14:48:52.000,Noise - Street/Sidewalk,11201,In Progress
209,2019-12-11T14:48:45.000,Animal-Abuse,11233,In Progress
210,2019-12-11T14:48:35.000,WATER LEAK,10456,Open
211,2019-12-11T14:48:10.000,APPLIANCE,11233,Open
212,2019-12-11T14:48:06.000,Illegal Parking,10001,In Progress
213,2019-12-11T14:48:00.000,Traffic Signal Condition,11208,Open
214,2019-12-11T14:47:57.000,WATER LEAK,11365,Open
215,2019-12-11T14:47:37.000,Overgrown Tree/Branches,11426,In Progress
216,2019-12-11T14:47:27.000,Overgrown Tree/Branches,10309,In Progress
217,2019-12-11T14:47:15.000,Illegal Parking,10458,In Progress
218,2019-12-11T14:47:09.000,Illegal Parking,10025,In Progress
219,2019-12-11T14:47:00.000,Traffic Signal Condition,10302,Closed
220,2019-12-11T14:47:00.000,Sewer,10009,Open
221,2019-12-11T14:47:00.000,Air Quality,10016,Open
222,2019-12-11T14:47:00.000,Sewer,11225,Open
223,2019-12-11T14:47:00.000,Sewer,11417,Open
224,2019-12-11T14:46:53.000,Illegal Parking,11220,In Progress
225,2019-12-11T14:46:24.000,Overgrown Tree/Branches,10301,In Progress
226,2019-12-11T14:46:09.000,Blocked Driveway,11235,In Progress
227,2019-12-11T14:46:00.000,Traffic Signal Condition,10302,Closed
228,2019-12-11T14:45:22.000,General Construction/Plumbing,11377,Open
229,2019-12-11T14:45:22.000,General Construction/Plumbing,10014,Open
230,2019-12-11T14:45:22.000,General Construction/Plumbing,11222,Open
231,2019-12-11T14:45:22.000,Building/Use,11217,Open
232,2019-12-11T14:45:00.000,Traffic Signal Condition,11208,Open
233,2019-12-11T14:44:48.000,Elevator,10301,Open
234,2019-12-11T14:44:40.000,HEAT/HOT WATER,10022,Open
235,2019-12-11T14:44:28.000,Sidewalk Condition,11211,In Progress
236,2019-12-11T14:44:23.000,Homeless Person Assistance,10011,Closed
237,2019-12-11T14:44:22.000,General Construction/Plumbing,11379,Open
238,2019-12-11T14:44:18.000,Sidewalk Condition,10303,In Progress
239,2019-12-11T14:44:00.000,Sewer,10466,Open
240,2019-12-11T14:44:00.000,Water System,11206,Closed
241,2019-12-11T14:43:58.000,Blocked Driveway,11218,In Progress
242,2019-12-11T14:42:02.000,Illegal Parking,10012,In Progress
243,2019-12-11T14:41:48.000,WATER LEAK,10453,Open
244,2019-12-11T14:41:21.000,Blocked Driveway,10474,In Progress
